"export-plot data (NetLogo 5.3.1)"
"Amsterdam_v6.3.nlogo"
"03/24/2018 12:05:09:614 +0100"

"MODEL SETTINGS"



"""Buses Expenses"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1750","0","2320000","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","1440"

"""default"""
"x","y","color","pen down?"
"0","0","0","true"
"1","0","0","true"
"2","6000","0","true"
"3","12001","0","true"
"4","18003","0","true"
"5","24006","0","true"
"6","30010","0","true"
"7","30015","0","true"
"8","30020","0","true"
"9","30025","0","true"
"10","30030","0","true"
"11","30035","0","true"
"12","30040","0","true"
"13","30045","0","true"
"14","30050","0","true"
"15","30055","0","true"
"16","30060","0","true"
"17","42065","0","true"
"18","62071.5","0","true"
"19","62080","0","true"
"20","62088.5","0","true"
"21","62097","0","true"
"22","62105.5","0","true"
"23","62114","0","true"
"24","62122.5","0","true"
"25","62131","0","true"
"26","62139.5","0","true"
"27","62148","0","true"
"28","62156.5","0","true"
"29","62165","0","true"
"30","62173.5","0","true"
"31","62182","0","true"
"32","62190.5","0","true"
"33","62199","0","true"
"34","62207.5","0","true"
"35","62216","0","true"
"36","62224.5","0","true"
"37","62233","0","true"
"38","62241.5","0","true"
"39","62250","0","true"
"40","62258.5","0","true"
"41","62267","0","true"
"42","62275.5","0","true"
"43","62284","0","true"
"44","62292.5","0","true"
"45","62301","0","true"
"46","62309.5","0","true"
"47","62318","0","true"
"48","62326.5","0","true"
"49","62335","0","true"
"50","62343.5","0","true"
"51","62352","0","true"
"52","62360.5","0","true"
"53","62369","0","true"
"54","62377.5","0","true"
"55","62386","0","true"
"56","62394.5","0","true"
"57","62403","0","true"
"58","62411.5","0","true"
"59","62420","0","true"
"60","62428.5","0","true"
"61","62437","0","true"
"62","74445.5","0","true"
"63","86455.5","0","true"
"64","86467","0","true"
"65","86478.5","0","true"
"66","86490","0","true"
"67","86501.5","0","true"
"68","86513","0","true"
"69","86524.5","0","true"
"70","86536","0","true"
"71","86547.5","0","true"
"72","86559","0","true"
"73","86570.5","0","true"
"74","86582","0","true"
"75","86593.5","0","true"
"76","86605","0","true"
"77","86616.5","0","true"
"78","86628","0","true"
"79","86639.5","0","true"
"80","86651","0","true"
"81","86662.5","0","true"
"82","86674","0","true"
"83","86685.5","0","true"
"84","86697","0","true"
"85","86708.5","0","true"
"86","86720","0","true"
"87","86731.5","0","true"
"88","86743","0","true"
"89","86754.5","0","true"
"90","86766","0","true"
"91","86777.5","0","true"
"92","86789","0","true"
"93","86800.5","0","true"
"94","86812","0","true"
"95","86823.5","0","true"
"96","86835","0","true"
"97","86846.5","0","true"
"98","86858","0","true"
"99","86869.5","0","true"
"100","86881","0","true"
"101","86892.5","0","true"
"102","86904","0","true"
"103","86915.5","0","true"
"104","86927","0","true"
"105","86938.5","0","true"
"106","86950","0","true"
"107","86961.5","0","true"
"108","86973","0","true"
"109","86984.5","0","true"
"110","86996","0","true"
"111","87007.5","0","true"
"112","99019","0","true"
"113","99032","0","true"
"114","99045","0","true"
"115","99058","0","true"
"116","99071","0","true"
"117","99084","0","true"
"118","99097","0","true"
"119","99110","0","true"
"120","99123","0","true"
"121","99136","0","true"
"122","99149","0","true"
"123","99162","0","true"
"124","99175","0","true"
"125","99188","0","true"
"126","99201","0","true"
"127","99214","0","true"
"128","99227","0","true"
"129","99240","0","true"
"130","99253","0","true"
"131","99266","0","true"
"132","99279","0","true"
"133","99292","0","true"
"134","99305","0","true"
"135","99318","0","true"
"136","99331","0","true"
"137","99344","0","true"
"138","99357","0","true"
"139","99370","0","true"
"140","99383","0","true"
"141","99396","0","true"
"142","99409","0","true"
"143","99422","0","true"
"144","99435","0","true"
"145","99448","0","true"
"146","99461","0","true"
"147","99474","0","true"
"148","99487","0","true"
"149","99500","0","true"
"150","99513","0","true"
"151","99526","0","true"
"152","99539","0","true"
"153","99552","0","true"
"154","99565","0","true"
"155","99578","0","true"
"156","99591","0","true"
"157","99604","0","true"
"158","99617","0","true"
"159","99630","0","true"
"160","99643","0","true"
"161","99656","0","true"
"162","99669","0","true"
"163","99682","0","true"
"164","99695","0","true"
"165","99708","0","true"
"166","99721","0","true"
"167","99734","0","true"
"168","99747","0","true"
"169","99760","0","true"
"170","99773","0","true"
"171","99786","0","true"
"172","99799","0","true"
"173","99812","0","true"
"174","99825","0","true"
"175","99838","0","true"
"176","99851","0","true"
"177","99864","0","true"
"178","99877","0","true"
"179","99890","0","true"
"180","99903","0","true"
"181","99916","0","true"
"182","99929","0","true"
"183","99942","0","true"
"184","99955","0","true"
"185","99968","0","true"
"186","99981","0","true"
"187","99994","0","true"
"188","100007","0","true"
"189","100020","0","true"
"190","100033","0","true"
"191","100046","0","true"
"192","100059","0","true"
"193","100072","0","true"
"194","100085","0","true"
"195","100098","0","true"
"196","100111","0","true"
"197","100124","0","true"
"198","100137","0","true"
"199","100150","0","true"
"200","100163","0","true"
"201","100176","0","true"
"202","100189","0","true"
"203","100202","0","true"
"204","100215","0","true"
"205","100228","0","true"
"206","100241","0","true"
"207","100254","0","true"
"208","100267","0","true"
"209","100280","0","true"
"210","100293","0","true"
"211","100306","0","true"
"212","100319","0","true"
"213","100332","0","true"
"214","100345","0","true"
"215","100358","0","true"
"216","100371","0","true"
"217","100384","0","true"
"218","100397","0","true"
"219","100410","0","true"
"220","100423","0","true"
"221","100436","0","true"
"222","100449","0","true"
"223","100462","0","true"
"224","100475","0","true"
"225","100488","0","true"
"226","100501","0","true"
"227","100514","0","true"
"228","100527","0","true"
"229","100540","0","true"
"230","100553","0","true"
"231","100566","0","true"
"232","100579","0","true"
"233","100592","0","true"
"234","100605","0","true"
"235","100618","0","true"
"236","100631","0","true"
"237","100644","0","true"
"238","100657","0","true"
"239","100670","0","true"
"240","100683","0","true"
"241","100696","0","true"
"242","100709","0","true"
"243","100722","0","true"
"244","100735","0","true"
"245","100748","0","true"
"246","100761","0","true"
"247","100774","0","true"
"248","100787","0","true"
"249","100800","0","true"
"250","100813","0","true"
"251","100826","0","true"
"252","100839","0","true"
"253","100852","0","true"
"254","100865","0","true"
"255","100878","0","true"
"256","100891","0","true"
"257","100904","0","true"
"258","100917","0","true"
"259","100930","0","true"
"260","100943","0","true"
"261","100956","0","true"
"262","100969","0","true"
"263","100982","0","true"
"264","100995","0","true"
"265","101008","0","true"
"266","101021","0","true"
"267","101034","0","true"
"268","101047","0","true"
"269","101060","0","true"
"270","101073","0","true"
"271","101086","0","true"
"272","101099","0","true"
"273","101112","0","true"
"274","101125","0","true"
"275","101138","0","true"
"276","101151","0","true"
"277","101164","0","true"
"278","101177","0","true"
"279","101190","0","true"
"280","101203","0","true"
"281","101216","0","true"
"282","101229","0","true"
"283","101242","0","true"
"284","101255","0","true"
"285","101268","0","true"
"286","101281","0","true"
"287","101294","0","true"
"288","101307","0","true"
"289","101320","0","true"
"290","101333","0","true"
"291","101346","0","true"
"292","101359","0","true"
"293","101372","0","true"
"294","101385","0","true"
"295","101398","0","true"
"296","101411","0","true"
"297","101424","0","true"
"298","101437","0","true"
"299","101450","0","true"
"300","101463","0","true"
"301","101476","0","true"
"302","101489","0","true"
"303","101502","0","true"
"304","101515","0","true"
"305","101528","0","true"
"306","101541","0","true"
"307","101554","0","true"
"308","101567","0","true"
"309","101580","0","true"
"310","101593","0","true"
"311","101606","0","true"
"312","101619","0","true"
"313","113632","0","true"
"314","125646.5","0","true"
"315","137662.5","0","true"
"316","149680","0","true"
"317","161699","0","true"
"318","173719.5","0","true"
"319","185741.5","0","true"
"320","197765","0","true"
"321","209790","0","true"
"322","221816.5","0","true"
"323","221844.5","0","true"
"324","221872.5","0","true"
"325","221900.5","0","true"
"326","221928.5","0","true"
"327","221956.5","0","true"
"328","221984.5","0","true"
"329","222012.5","0","true"
"330","222040.5","0","true"
"331","222068.5","0","true"
"332","222096.5","0","true"
"333","222124.5","0","true"
"334","222152.5","0","true"
"335","222180.5","0","true"
"336","222208.5","0","true"
"337","222236.5","0","true"
"338","222264.5","0","true"
"339","222292.5","0","true"
"340","222320.5","0","true"
"341","222348.5","0","true"
"342","222376.5","0","true"
"343","222404.5","0","true"
"344","222432.5","0","true"
"345","222460.5","0","true"
"346","222488.5","0","true"
"347","222516.5","0","true"
"348","222544.5","0","true"
"349","222572.5","0","true"
"350","222600.5","0","true"
"351","222628.5","0","true"
"352","222656.5","0","true"
"353","222684.5","0","true"
"354","222712.5","0","true"
"355","222740.5","0","true"
"356","222768.5","0","true"
"357","222796.5","0","true"
"358","222824.5","0","true"
"359","222852.5","0","true"
"360","222880.5","0","true"
"361","222908.5","0","true"
"362","242936.5","0","true"
"363","262966.5","0","true"
"364","282998.5","0","true"
"365","295032.5","0","true"
"366","307068","0","true"
"367","319105","0","true"
"368","331143.5","0","true"
"369","343183.5","0","true"
"370","349225","0","true"
"371","355267.5","0","true"
"372","361311","0","true"
"373","367355.5","0","true"
"374","373401","0","true"
"375","379447.5","0","true"
"376","379495","0","true"
"377","379542.5","0","true"
"378","379590","0","true"
"379","379637.5","0","true"
"380","379685","0","true"
"381","379732.5","0","true"
"382","379780","0","true"
"383","379827.5","0","true"
"384","379875","0","true"
"385","379922.5","0","true"
"386","379970","0","true"
"387","380017.5","0","true"
"388","380065","0","true"
"389","380112.5","0","true"
