;;DESTINATION;;;;;;;;;;;;;;;;;;;;;;;
TIME;FROM;Amstel;Amstelveenseweg;Buikslotermeer;Centraal;Dam;Evertsenstraat;Floradorp;Haarlemmermeerstation;Hasseltweg;Hendrikkade;Leidseplein;Lelylaan;Muiderpoort;Museumplein;RAI;Science Park;Sloterdijk;Surinameplein;UvA;VU;Waterlooplein;Weesperplein;Wibaustraat;Zuid
0:00;Amstel;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;0;2;0;0;0;0
0:15;Amstel;0;1;0;0;1;1;0;0;0;0;1;1;0;1;1;1;1;0;0;1;0;0;0;1
0:30;Amstel;1;0;0;1;1;0;0;0;0;0;1;0;1;1;1;1;1;0;1;1;0;0;0;0
0:45;Amstel;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0
1:00;Amstel;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
1:15;Amstel;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
1:30;Amstel;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0
1:45;Amstel;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
2:00;Amstel;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
2:15;Amstel;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1
2:30;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0
2:45;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
3:00;Amstel;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;1
3:15;Amstel;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
3:30;Amstel;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
3:45;Amstel;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
4:00;Amstel;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0
4:15;Amstel;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0
4:30;Amstel;0;0;0;1;1;0;0;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0
4:45;Amstel;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5:00;Amstel;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
5:15;Amstel;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
5:30;Amstel;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1
5:45;Amstel;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
6:00;Amstel;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0
6:15;Amstel;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1
6:30;Amstel;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1
6:45;Amstel;0;1;0;1;1;1;0;1;0;0;1;0;1;1;1;1;1;0;0;1;0;0;0;0
7:00;Amstel;1;1;0;1;1;0;0;1;1;0;3;1;2;3;2;1;1;0;2;2;1;1;0;1
7:15;Amstel;1;1;1;7;1;1;3;3;1;1;3;3;2;2;4;4;5;0;4;3;1;1;1;5
7:30;Amstel;10;5;2;13;1;4;4;14;3;1;4;4;8;4;7;2;14;1;3;4;5;3;3;14
7:45;Amstel;4;11;4;18;7;14;7;19;6;3;0;12;12;10;11;3;22;3;21;21;6;4;7;22
8:00;Amstel;12;4;1;4;12;1;11;3;1;4;20;15;4;3;11;12;22;3;13;3;1;6;2;7
8:15;Amstel;9;2;0;1;9;4;1;7;6;1;11;8;1;1;17;10;8;3;1;6;2;6;3;7
8:30;Amstel;12;5;3;2;5;4;4;18;4;3;10;7;5;18;10;2;17;1;3;11;3;6;0;11
8:45;Amstel;11;6;2;4;12;13;5;8;5;2;1;5;15;16;8;8;9;3;7;8;3;2;5;2
9:00;Amstel;7;10;2;31;10;1;10;2;1;3;17;7;7;23;10;18;5;4;15;20;6;1;4;5
9:15;Amstel;4;1;1;12;9;0;5;8;1;2;7;6;7;11;11;8;8;1;2;0;4;3;4;5
9:30;Amstel;2;4;0;2;9;7;6;11;4;2;4;5;5;0;6;10;5;2;4;1;2;1;0;3
9:45;Amstel;0;1;1;9;6;2;1;3;1;1;3;5;4;8;0;7;3;1;7;7;1;2;1;8
10:00;Amstel;3;0;1;1;6;1;2;3;1;0;2;0;3;2;1;0;4;0;3;3;0;2;1;2
10:15;Amstel;3;1;0;2;0;3;1;0;2;1;2;1;1;4;2;1;2;1;6;1;2;1;0;6
10:30;Amstel;1;1;1;5;3;2;2;4;1;0;5;1;1;4;4;5;3;0;1;6;1;1;1;2
10:45;Amstel;3;1;0;3;4;0;2;3;1;1;2;3;3;4;2;3;1;0;3;2;2;1;2;1
11:00;Amstel;2;0;1;1;2;1;3;4;1;0;1;1;4;3;5;3;4;1;2;1;1;2;1;1
11:15;Amstel;1;1;0;2;1;0;3;2;0;1;2;1;4;0;4;1;4;1;1;4;0;2;0;0
11:30;Amstel;0;0;1;4;5;2;0;1;1;0;2;2;4;2;4;1;4;1;5;4;2;1;1;6
11:45;Amstel;4;2;0;2;5;3;1;1;1;1;4;3;4;4;2;3;5;0;3;0;0;1;1;4
12:00;Amstel;3;2;1;3;5;3;3;5;1;1;2;4;1;3;1;1;2;1;3;2;1;2;0;1
12:15;Amstel;4;1;1;6;2;3;1;2;0;1;2;2;3;1;5;4;6;0;5;6;1;2;2;1
12:30;Amstel;2;0;1;6;3;3;4;0;3;1;5;3;0;7;2;3;9;1;2;8;2;0;2;7
12:45;Amstel;2;2;1;5;1;1;2;2;0;1;3;5;6;6;2;0;8;1;2;5;1;2;1;9
13:00;Amstel;1;3;1;1;3;1;4;8;3;1;6;2;3;7;4;5;7;0;4;1;2;1;2;4
13:15;Amstel;3;3;1;2;5;1;2;5;2;1;2;4;0;4;6;5;0;1;3;1;1;1;2;6
13:30;Amstel;3;3;1;4;6;4;3;5;2;1;4;4;0;4;5;3;1;0;5;1;0;1;0;3
13:45;Amstel;1;3;0;3;3;3;2;3;2;0;4;2;2;5;0;2;2;0;6;1;1;2;1;5
14:00;Amstel;0;1;0;3;3;0;3;2;1;1;2;2;2;6;1;1;0;0;0;6;1;2;2;2
14:15;Amstel;4;1;0;1;2;0;0;5;2;0;5;2;5;4;2;1;2;1;2;2;2;0;1;3
14:30;Amstel;2;0;0;7;0;1;0;2;2;1;5;3;3;1;4;3;5;0;1;6;0;1;2;5
14:45;Amstel;1;0;1;7;3;4;3;4;1;0;1;4;3;3;2;3;0;0;3;0;2;2;0;0
15:00;Amstel;2;1;0;3;5;2;0;2;0;1;2;0;1;5;3;3;4;1;0;0;2;0;1;3
15:15;Amstel;0;1;0;0;4;0;1;1;1;1;6;2;5;5;1;1;5;0;0;2;2;2;2;2
